id,title,address,price,size
1,An apartment for rent near city center,Berlin,1000,50
2,2 room apartment for sale,Berlin,1199,60
3,Renting out my apartment for 3 months,Hamburg,900,45
4,Studio apartment available for rent from February,Frankfurt,750,55
5,3 room apartment for rent near city center,Berlin,1500,100
6,A private room in a villa,Hamburg,1000,75
7,Shared apartment,Frankfurt,950,65
8,Newly renovated apartment with a lake nearby,Hamburg,1000,60
9,Renting out my apartment for 6 months with extension,Frankfurt,890,50
10,Studio apartment for students,Berlin,890,60
11,2 rooms apartment for rent,Berlin,1200,100
12,A family apartment with balcony,Hamburg,1150,75
13,2 rooms in a shared accomodation,Frankfurt,980,65
